road_id,geometry_class,road_type,road_name_class,full_road_name,road_name_label,road_name_prefix,road_name_body,road_name_type,road_name_suffix,route_name_body,route_name_number,route_name_alpha,route_name_suffix,full_road_name_ascii,road_name_label_ascii,road_name_body_ascii
1795546,Addressing Road,Unknown,Road,Te Rata Road,Te Rata Rd,,Te Rata,Road,,,,,,Te Rata Road,Te Rata Rd,Te Rata
1795561,Addressing Road,Unknown,Road,Birch Hill Road,Birch Hill Rd,,Birch Hill,Road,,,,,,Birch Hill Road,Birch Hill Rd,Birch Hill
1795598,Addressing Road,Unknown,Road,Georges Road,Georges Rd,,Georges,Road,,,,,,Georges Road,Georges Rd,Georges
1795608,Addressing Road,Unknown,Road,Summer Hill Road,Summer Hill Rd,,Summer Hill,Road,,,,,,Summer Hill Road,Summer Hill Rd,Summer Hill
1795609,Addressing Road,Unknown,Road,Harris Road North,Harris Rd N,,Harris,Road,North,,,,,Harris Road North,Harris Rd N,Harris
1795634,Addressing Road,Unknown,Road,Pouawha Road,Pouawha Rd,,Pouawha,Road,,,,,,Pouawha Road,Pouawha Rd,Pouawha
1795654,Addressing Road,Unknown,Road,Mahupuku Street,Mahupuku St,,Mahupuku,Street,,,,,,Mahupuku Street,Mahupuku St,Mahupuku
1795666,Addressing Road,Unknown,Road,Cologne Street,Cologne St,,Cologne,Street,,,,,,Cologne Street,Cologne St,Cologne
1795684,Addressing Road,Unknown,Road,Radium Street,Radium St,,Radium,Street,,,,,,Radium Street,Radium St,Radium
1795685,Addressing Road,Unknown,Road,Grey Street,Grey St,,Grey,Street,,,,,,Grey Street,Grey St,Grey
